["!anon4173", "103.4.165.26"]
["#bnp", "180.241.60.131"]
["!anon2139", "112.215.124.123"]
["#aaaa", ""]
["godeater123", "101.187.5.151"]
["!anon7123", "114.141.51.20"]
["#kebunku", "180.254.247.136"]
["!anon6595", "36.79.102.46"]
["!anon7376", "36.81.135.55"]
["#fujiwara", "180.242.18.10"]
["#noone", "112.215.64.85"]
["!anon2234", "36.79.252.111"]
["koirai1", "46.23.66.106"]
["k1ntok1", "180.252.100.54"]
["!anon3382", "36.84.238.39"]
["!anon6680", "101.255.95.130"]
["#idhamsan", "36.79.248.248"]
["!anon0630", "125.162.201.35"]
["sunscreen12", "180.251.27.135"]
["!anon3858", "118.137.7.113"]
["!anon8149", "36.76.28.227"]
["skybotqueren", "110.138.68.2"]
["!anon8736", "103.15.240.88"]
["!anon8277", ""]
["cranel1", ""]
["callmesin", "202.182.55.62"]
["!anon6189", "180.252.145.158"]
["kepoah4444", "36.72.15.117"]
["!anon0051", "36.85.247.49"]
["satoriryuuken", "223.255.224.119"]
["!anon6069", "125.163.155.228"]
["#bluewaffle", "36.72.10.125"]
["nakirichan", ""]
["#tanya", ""]
["#jilon", "36.72.253.106"]
["!anon6390", "36.80.0.127"]
["!anon2450", "36.68.41.231"]
["!anon5897", ""]
["!anon0398", "202.67.44.28"]
["!anon7201", "36.77.71.36"]
["#adminanimeku", "180.247.184.224"]
["dvaan", "36.72.37.255"]
["unuboy", "180.214.233.21"]
["stublings", "202.67.36.241"]
["andiadi27", "180.249.1.241"]
["justcallzee", "36.76.200.43"]
["!anon9202", "36.74.127.180"]
["!anon3081", "110.138.194.7"]
["#shuzusa", "139.228.55.107"]
["!anon0256", "36.70.112.71"]
["!anon4044", "125.162.201.35"]
["!anon7363", "139.194.56.84"]
["#detri", "223.255.230.66"]
["#fell", "101.255.97.193"]
["!anon5602", "36.71.46.67"]
["#raflu", "103.47.132.16"]
["!anon1976", "36.80.14.70"]
["!anon4500", "36.73.91.113"]
["!anon6587", "36.76.21.194"]
["!anon8655", "36.77.61.81"]
["nasijagung", "180.253.62.244"]
["feutra3", "112.215.64.177"]
["!anon6687", "36.77.60.176"]
["!anon3789", ""]
["!anon4943", "111.95.100.66"]
